,Band1,Band2,Rsquared
0,400,400,1.0
1,400,412,0.0164
2,400,442,0.0082
3,400,490,0.0
4,400,510,0.0003
5,400,560,0.0003
6,400,620,0.0018
7,400,665,0.0031
8,400,674,0.0037
9,400,681,0.0036
10,400,709,0.001
11,400,754,0.0011
12,400,865,0.0019
13,400,940,0.0027
14,400,1012,0.0127
15,412,400,0.006
16,412,412,1.0
17,412,442,0.0036
18,412,490,0.0
19,412,510,0.0003
20,412,560,0.0007
21,412,620,0.0009
22,412,665,0.0012
23,412,674,0.0011
24,412,681,0.0012
25,412,709,0.0008
26,412,754,0.0005
27,412,865,0.0008
28,412,940,0.0001
29,412,1012,0.0003
30,442,400,0.0056
31,442,412,0.0175
32,442,442,1.0
33,442,490,0.0
34,442,510,0.0
35,442,560,0.0
36,442,620,0.001
37,442,665,0.0024
38,442,674,0.0035
39,442,681,0.0032
40,442,709,0.0003
41,442,754,0.0005
42,442,865,0.0012
43,442,940,0.0032
44,442,1012,0.0194
45,490,400,0.0059
46,490,412,0.0188
47,490,442,0.006
48,490,490,1.0
49,490,510,0.0002
50,490,560,0.0042
51,490,620,0.0029
52,490,665,0.0073
53,490,674,0.0126
54,490,681,0.0115
55,490,709,0.0003
56,490,754,0.0024
57,490,865,0.004
58,490,940,0.0106
59,490,1012,0.0274
60,510,400,0.0059
61,510,412,0.0193
62,510,442,0.0059
63,510,490,0.0004
64,510,510,1.0
65,510,560,0.0092
66,510,620,0.0058
67,510,665,0.0119
68,510,674,0.0195
69,510,681,0.0176
70,510,709,0.0009
71,510,754,0.004
72,510,865,0.006
73,510,940,0.0131
74,510,1012,0.0292
75,560,400,0.006
76,560,412,0.0191
77,560,442,0.006
78,560,490,0.003
79,560,510,0.0075
80,560,560,1.0
81,560,620,0.0484
82,560,665,0.0402
83,560,674,0.0505
84,560,681,0.0494
85,560,709,0.0172
86,560,754,0.0163
87,560,865,0.0182
88,560,940,0.0214
89,560,1012,0.0324
90,620,400,0.0059
91,620,412,0.0191
92,620,442,0.0043
93,620,490,0.0003
94,620,510,0.0027
95,620,560,0.043
96,620,620,1.0
97,620,665,0.022
98,620,674,0.0467
99,620,681,0.045
100,620,709,0.0103
101,620,754,0.0006
102,620,865,0.0024
103,620,940,0.0112
104,620,1012,0.0291
105,665,400,0.0059
106,665,412,0.0191
107,665,442,0.0038
108,665,490,0.0011
109,665,510,0.005
110,665,560,0.0342
111,665,620,0.0212
112,665,665,1.0
113,665,674,0.0819
114,665,681,0.0403
115,665,709,0.0325
116,665,754,0.0024
117,665,865,0.0004
118,665,940,0.0067
119,665,1012,0.0289
120,674,400,0.0059
121,674,412,0.019
122,674,442,0.0034
123,674,490,0.0025
124,674,510,0.0092
125,674,560,0.0445
126,674,620,0.0463
127,674,665,0.0824
128,674,674,1.0
129,674,681,0.0097
130,674,709,0.0536
131,674,754,0.0127
132,674,865,0.0077
133,674,940,0.0034
134,674,1012,0.0268
135,681,400,0.0059
136,681,412,0.0191
137,681,442,0.0035
138,681,490,0.002
139,681,510,0.0077
140,681,560,0.041
141,681,620,0.0421
142,681,665,0.0394
143,681,674,0.0093
144,681,681,1.0
145,681,709,0.0499
146,681,754,0.0097
147,681,865,0.0049
148,681,940,0.0043
149,681,1012,0.0268
150,709,400,0.006
151,709,412,0.0187
152,709,442,0.0041
153,709,490,0.0
154,709,510,0.0003
155,709,560,0.0135
156,709,620,0.0089
157,709,665,0.0295
158,709,674,0.0497
159,709,681,0.0466
160,709,709,1.0
161,709,754,0.0079
162,709,865,0.0115
163,709,940,0.0168
164,709,1012,0.0302
165,754,400,0.006
166,754,412,0.0182
167,754,442,0.0028
168,754,490,0.0002
169,754,510,0.001
170,754,560,0.0114
171,754,620,0.0
172,754,665,0.0056
173,754,674,0.0159
174,754,681,0.0121
175,754,709,0.004
176,754,754,1.0
177,754,865,0.0087
178,754,940,0.0106
179,754,1012,0.0289
180,865,400,0.0059
181,865,412,0.0183
182,865,442,0.0031
183,865,490,0.0003
184,865,510,0.0014
185,865,560,0.0121
186,865,620,0.0004
187,865,665,0.002
188,865,674,0.0106
189,865,681,0.0073
190,865,709,0.0074
191,865,754,0.008
192,865,865,1.0
193,865,940,0.0084
194,865,1012,0.0294
195,940,400,0.0059
196,940,412,0.0179
197,940,442,0.0011
198,940,490,0.0021
199,940,510,0.0041
200,940,560,0.0131
201,940,620,0.0045
202,940,665,0.0018
203,940,674,0.0003
204,940,681,0.0006
205,940,709,0.0106
206,940,754,0.0115
207,940,865,0.0088
208,940,940,1.0
209,940,1012,0.0265
210,1012,400,0.0058
211,1012,412,0.0199
212,1012,442,0.0
213,1012,490,0.0144
214,1012,510,0.022
215,1012,560,0.0319
216,1012,620,0.0332
217,1012,665,0.0337
218,1012,674,0.0323
219,1012,681,0.0333
220,1012,709,0.0365
221,1012,754,0.0353
222,1012,865,0.0357
223,1012,940,0.0326
224,1012,1012,1.0
